Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Date,Century,Sphere,Type,Topic,Publication,Medium,Full context,Слово слева,Значение,Meaning number,Зависит ли от какого-то слова в предложении,POS,full_tag,Семантика глагола. К какой сем. группе он относится?,Вершинное слово: препозиция или постпозиция,Расстояние от вершинного слова,Значение (abs),Вершинное слово,Начальная форма,Прямое или переносное значение,Есть ли ещё,Full context
потом зашел к Иверской...,туда,",",сюда... хвать!,М. Е. Салтыков-Щедрин. Наша общественная жизнь (1863-1864),М. Е. Салтыков-Щедрин,1826,Наша общественная жизнь,1863-1864,1863,IXX,публицистика,очерк | цикл,искусство и культура | политика и общественная жизнь,М. Е. Салтыков-Щедрин. Собр. соч.: В 20 т. Т. 6,книга,"потом зашел к Иверской... туда, сюда... хвать!",Иверской,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"потом зашел к Иверской... туда, сюда... хвать!"
"Ариоста, несется зря, двадцатью эпизодами; бросаясь",туда,",","сюда, с тем тревожным беспокойством, которое",А. И. Герцен. Былое и думы. Часть шестая. Англия (1864),А. И. Герцен,1812,Былое и думы. Часть шестая. Англия,1864,1864,IXX,публицистика,мемуары,,,книга,"Пути вперед не назначено, его надобно прокладывать; история, как поэма Ариоста, несется зря, двадцатью эпизодами; бросаясь туда, сюда, с тем тревожным беспокойством, которое уже бесцельно волнует обезьяну и которого почти совсем нет у низших зверей, этих довольных животного царства.",бросаясь,"В разные стороны, во все концы",1,Да,деепричастие,"GRND, impf, intr pres",движение,препозиция,0,0,бросаясь,бросаться,Прямое,Отсутствует,"Пути вперед не назначено, его надобно прокладывать; история, как поэма Ариоста, несется зря, двадцатью эпизодами; бросаясь туда, сюда, с тем тревожным беспокойством, которое уже бесцельно волнует обезьяну и которого почти совсем нет у низших зверей, этих довольных животного царства."
Там вы выезжаете,туда,",","сюда, и все это так деликатно.",И. Ф. Горбунов. Очерки о старой Москве. Визит. Сцены (1870),И. Ф. Горбунов,1831,Очерки о старой Москве. Визит. Сцены,1870,1870,IXX,художественная,пьеса,,"И. Ф. Горбунов. Сочинения. Т.1 - СПб., 1902",электронный текст,"Там вы выезжаете туда, сюда, и все это так деликатно.",выезжаете,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 2per, pres, indc",движения,препозиция,0,0,выезжаете,выезжать,Прямое,Отсутствует,"Там вы выезжаете туда, сюда, и все это так деликатно."
,туда,--,"сюда сунусь, вездѣ отказъ; ну, я",В. Г. Старостин. Похождения семинариста Хлопова (1870),В. Г. Старостин,,Похождения семинариста Хлопова,1870,1870,IXX,художественная,повесть,,"Похожденія семинариста Хлопова. Повѣсть. Выбранное, что лучше Старостина",книга,"туда -- сюда сунусь, вездѣ отказъ; ну, я и продала... старушка махнула рукой.",,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr sing, 1per, futr, indc",движения,постпозиция,0,0,сунусь,сунуться,Прямое,Отсутствует,"туда -- сюда сунусь, вездѣ отказъ; ну, я и продала... старушка махнула рукой."
"пашпортъ есть: ежели прежній, такъ ещё",туда,,"сюда, а ежели ужъ на желтый",Н. А. Лейкин. Кусок хлеба (1871),Н. А. Лейкин,1841,Кусок хлеба,1871,1871,IXX,художественная,повесть,,"Повѣсти, разсказы и драматическія сочиненія Н. А. Лейкина",книга,"Нужно прежде знать, какой такой у ней пашпортъ есть: ежели прежній, такъ ещё туда сюда, а ежели ужъ на желтый обмѣнила, такъ кто ее возьметъ?",ещё,"Ничего, сойдет ",2,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Присутствует,"Нужно прежде знать, какой такой у ней пашпортъ есть: ежели прежній, такъ ещё туда сюда, а ежели ужъ на желтый обмѣнила, такъ кто ее возьметъ?"
,туда,",",сюда...,П. И. Мельников-Печерский. В лесах. Книга вторая (1871-1874),П. И. Мельников-Печерский,1818,В лесах. Книга вторая,1871-1874,1871,IXX,художественная,роман,,П. И. Мельников-Печерский. Собрание сочинений,книга,"Туда, сюда...",,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Туда, сюда..."
Его работа по-старинному -- ковырнет рукой,туда,",","сюда, а денежки подай!",Е. Л. Марков. Очерки Крыма (1872),Е. Л. Марков,1835,Очерки Крыма,1872,1872,IXX,публицистика,очерк,путешествия | история | наука и технологии | частная жизнь,"Очерки Крыма. Картины крымской жизни, истории и природы. Евгения Маркова",книга,"Его работа по-старинному -- ковырнет рукой туда, сюда, а денежки подай!",рукой,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran sing, 3per, futr, indc",конкретного физического действия,препозиция,1,1,ковырнет,ковырнуть,Прямое,Отсутствует,"Его работа по-старинному -- ковырнет рукой туда, сюда, а денежки подай!"
,туда,",",сюда -- и ничего нет!,А. Н. Энгельгардт. Письма из деревни (1872-1887 гг.). Письмо седьмое (1878),А. Н. Энгельгардт,1828,Письма из деревни (1872-1887 гг.). Письмо седьмое,1878,1878,IXX,публицистика,статья,сельское хозяйство,А. Н. Энгельгардт. Из деревни. 12 писем. 1872-1887,книга,"туда, сюда -- и ничего нет!",,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"туда, сюда -- и ничего нет!"
"Александр Иванович знал настойчивый нрав отца,",туда,",","сюда повертелся, ни на что нейдет",Т. П. Пассек. Из дальних лет (1878-1889),Т. П. Пассек,1810,Из дальних лет,1878-1889,1878,IXX,публицистика,мемуары,частная жизнь,Воспоминания Т. П. Пассек,книга,"Александр Иванович знал настойчивый нрав отца, туда, сюда повертелся, ни на что нейдет старик, — тогда разделся он и лег на пол.",отца,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",движения,постпозиция,0,0,повертелся,повертеться,Прямое,Отсутствует,"Александр Иванович знал настойчивый нрав отца, туда, сюда повертелся, ни на что нейдет старик, — тогда разделся он и лег на пол."
Переводить -- ещё,туда,,"сюда, кое-как сумею.",В. М. Гаршин. Письма Е. С. Гаршиной (1882),В. М. Гаршин,1855,Письма Е. С. Гаршиной,1882,1882,IXX,бытовая,письмо личное,частная жизнь,В. М. Гаршин. Письма,книга,"Переводить -- ещё туда сюда, кое-как сумею.",ещё,"Ничего, сойдет ",2,Да,глагол (инфинитив),"INFN, perf, tran",деятельности,препозиция,1,1,переводить,переводить,Прямое,Присутствует,"Переводить -- ещё туда сюда, кое-как сумею."
Все остальное ещё,туда,,"сюда, но вести российские...",А. И. Эртель. Записки Степняка (1883),А. И. Эртель,1855,Записки Степняка,1883,1883,IXX,публицистика | художественная,рассказ | очерк,,Эртель А. И. Записки Степняка. Очерки и рассказы,книга,"Всё остальное ещё туда сюда, но вести российские...",ещё,"Ничего, сойдет ",2,Да,частица,PRCL,,препозиция,2,2,всё,всё,Переносное,Присутствует,"Всё остальное ещё туда сюда, но вести российские..."
"осторожно выскочил заяц, постоял, повертел мордочкой",туда,—,"сюда, точно кумушка, на минуточку выбежавшая",Шолом-Алейхем. Мечтатели (1884),Шолом-Алейхем,1859,Мечтатели,1884,1884,IXX,художественная,рассказ,,Шолом-Алейхем. Собрание сочинений: в 6 т,книга,"Из-под куста осторожно выскочил заяц, постоял, повертел мордочкой туда — сюда, точно кумушка, на минуточку выбежавшая из дому поглядеть на проходящих мимо молодцов и кстати себя показать, — но через минуту быстро повернул налево кругом — и марш-марш.",мордочкой,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran masc, sing, past, indc",конкретного физического действия,препозиция,1,1,повертел,повертеть,Прямое,Отсутствует,"Из-под куста осторожно выскочил заяц, постоял, повертел мордочкой туда — сюда, точно кумушка, на минуточку выбежавшая из дому поглядеть на проходящих мимо молодцов и кстати себя показать, — но через минуту быстро повернул налево кругом — и марш-марш."
"Он, шельма,",туда,",",сюда...,К. М. Станюкович. «Бесшабашный» (1891),К. М. Станюкович,1843,«Бесшабашный»,1891,1891,IXX,художественная,рассказ,,Станюкович К.M. Избранные произведения в 2-х т,книга,"Он, шельма, туда, сюда...",шельма,"Ничего, сойдет ",2,Да,местоимение,"NPRO, masc, 3per, Anph sing, nomn",,препозиция,1,1,он,он,Переносное,Отсутствует,"Он, шельма, туда, сюда..."
Мы,туда,",",сюда -- хотели Василия Васильевича в другой,Н. Э. Гейнце. В тине адвокатуры (1893),Н. Э. Гейнце,1852,В тине адвокатуры,1893,1893,IXX,художественная,роман,,Гейнце Н. Э. Собрание сочинений,книга,"Мы туда, сюда -- хотели Василия Васильевича в другой номер перевести -- спрятать, а он на дыбы -- хочу с женой видеться, соскучился.",Мы,"В разные стороны, во все концы",1,Да,местоимение,"NPRO, 1per plur, nomn",,препозиция,0,0,мы,мы,Прямое,Отсутствует,"Мы туда, сюда -- хотели Василия Васильевича в другой номер перевести -- спрятать, а он на дыбы -- хочу с женой видеться, соскучился."
Я,туда,",",сюда метнулся...,Н. Н. Алексеев. Татарский отпрыск (1896),Н. Н. Алексеев,1871,Татарский отпрыск,1896,1896,IXX,художественная,роман,,Н. Н. Алексеев-Кунгурцев. Брат на брата. Заморский выходец. Татарский отпрыск.,книга,"Я туда, сюда метнулся...",Я,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",движения,постпозиция,0,0,метнулся,метнуться,Прямое,Отсутствует,"Я туда, сюда метнулся..."
,туда,",",сюда -- нет лошадей.,"Н. Г. Гарин-Михайловский. По Корее, Маньчжурии и Ляодунскому полуострову (1898)",Н. Г. Гарин-Михайловский,1852,"По Корее, Маньчжурии и Ляодунскому полуострову",1898,1898,IXX,публицистика,очерк,путешествия,Н. Г. Гарин-Михайлович. Собр. соч. в 5 т. Том 5,книга,"Туда, сюда -- нет лошадей.",,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Туда, сюда -- нет лошадей."
Суюсь,туда,",",сюда -- нет знакомого хода.,Г. В. Аммосов. Дневник (1900),Г. В. Аммосов,1879,Дневник,1900,1900,XX 1st half,бытовая,"дневник, записные книжки",образование | частная жизнь,,электронный текст,"Суюсь туда, сюда -- нет знакомого хода.",Суюсь,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 1per, pres, indc",движения,препозиция,0,0,суюсь,соваться,Прямое,Отсутствует,"Суюсь туда, сюда -- нет знакомого хода."
Все шатаюсь без толку,туда,,сюда.,К. И. Чуковский. Дневник (1902),К. И. Чуковский,1882,Дневник,1902,1902,XX 1st half,бытовая,"дневник, записные книжки",политика и общественная жизнь | частная жизнь | история | искусство и культура,"Собрание сочинений: В 15 т. Т. 11: Дневник 1901-1921/ Предисл. В. Каверина, Коммент. Е. Чуковской.-2-е изд., электронное, испр.-М.: Агентство ФТМ, Лтд, 2013.-592 с. М.: ТЕРРА-Книжный клуб, 2006",книга,Все шатаюсь без толку туда сюда.,толку,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 1per, pres, indc",движения,препозиция,2,2,шатаюсь,шататься,Переносное,Отсутствует,Все шатаюсь без толку туда сюда.
Посовались мы,туда,",",сюда.,Н. И. Березин. Пешком по карельским водопадам (1903),Н. И. Березин,,Пешком по карельским водопадам,1903,1903,XX 1st half,публицистика | учебно-научная,путеводитель,путешествия,"Типография товарищества «Общественная польза», 1903",прочая печатная продукция,"Посовались мы туда, сюда.",мы,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,препозиция,1,1,посовались,посоваться,Прямое,Отсутствует,"Посовались мы туда, сюда."
"на родину шлют, в дома рабочие...",туда,",",сюда... чтоб глаза не мозолили.,С. П. Подъячев. Мытарства (1903),С. П. Подъячев,1866,Мытарства,1903,1903,XX 1st half,художественная,очерк | цикл,,C. Подъячев. Избранные произведения,книга,"И в тюрьму сажают, и на родину шлют, в дома рабочие... туда, сюда... чтоб глаза не мозолили.",рабочие,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran plur, 3per, pres, indc",конкретного физического действия,препозиция,3,3,шлют,слать,Прямое,Отсутствует,"И в тюрьму сажают, и на родину шлют, в дома рабочие... туда, сюда... чтоб глаза не мозолили."
злобно),туда,",",сюда!..,Е. Н. Чириков. Мироныч. Пьеса в четырех действиях (1904),Е. Н. Чириков,1864,Мироныч. Пьеса в четырех действиях,1904,1904,XX 1st half,художественная,пьеса,,"«Знания» Сборник пьес. Серия «Библиотека драматурга». М., «Искусство», 1964",электронный текст,"злобно) Туда, сюда!..",злобно,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"злобно) Туда, сюда!.."
Я,туда,",","сюда ходила,  И везде мне плохо","Максим Горький. Букоёмов, Карп Иванович (1905)",Максим Горький,1868,"Букоёмов, Карп Иванович",1905,1905,XX 1st half,художественная,рассказ,,М. Горький. Собрание сочинений в 30 т. Том 5,книга,"Я туда, сюда ходила,  И везде мне плохо было…",Я,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr femn, sing, past, indc",движения,постпозиция,0,0,ходила,ходить,Прямое,Отсутствует,"Я туда, сюда ходила,  И везде мне плохо было…"
"Тот обводит стоящих своим взором, посмотрит",туда,",","сюда, как бы ища кого, и",иеромонах Никон (Беляев). Дневник (1909),иеромонах Никон (Беляев),1888,Дневник,1909,1909,XX 1st half,бытовая | церковно-богословская,дневник,философия | религия | частная жизнь,"Дневник послушника Николая Беляева (преподобного оптинского старца Никона). Москва, Полиграф-Ателье Плюс, 2004",книга,"Тот обводит стоящих своим взором, посмотрит туда, сюда, как бы ища кого, и не находит никого.",посмотрит,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran sing, 3per, futr, indc",восприятия,препозиция,0,0,посмотрит,посмотреть,Прямое,Отсутствует,"Тот обводит стоящих своим взором, посмотрит туда, сюда, как бы ища кого, и не находит никого."
Сережа бежит,туда,",",сюда.,Т. Л. Сухотина-Толстая. Отрочество Тани Толстой (1910-1950),Т. Л. Сухотина-Толстая,1864,Отрочество Тани Толстой,1910-1950,1910,XX 1st half,публицистика,мемуары,частная жизнь,Сухотина-Толстая Т. Л. Воспоминания,книга,"Сережа бежит туда, сюда.",бежит,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr sing, 3per, futr, indc",движения,препозиция,0,0,бежит,бежать,Прямое,Отсутствует,"Сережа бежит туда, сюда."
,туда,",","сюда, по всем карманам, -- не хватает.","А. А. Селиванов. Одержимые // «Пробуждение» № 7-8, 1914",А. А. Селиванов,1876,Одержимые,1914,1914,XX 1st half,художественная,рассказ,,"«Пробуждение» № 7-8, 1914",журнал,"Туда, сюда, по всем карманам, -- не хватает.",,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Туда, сюда, по всем карманам, -- не хватает."
огуречный рассол получать из нее ещё,туда,,сюда...,"В. Майстрах. Полезные советы (1915.11.23) // газета «Трудовая копейка», 1915",В. Майстрах,,Полезные советы,1915,1915,XX 1st half,публицистика,письмо открытое,частная жизнь | здоровье и медицина,газета «Трудовая копейка»,газета,"И, разумеется, никто из врачей серьезно не отнесется к изобретению «эскулапа» из колониальной лавки: крупа, капуста, селедка, огуречный рассол получать из нее ещё туда сюда...",ещё,"Ничего, сойдет ",2,Да,глагол (инфинитив),"INFN, impf, tran",донатив,препозиция,3,3,получать,получать,Переносное,Присутствует,"И, разумеется, никто из врачей серьезно не отнесется к изобретению «эскулапа» из колониальной лавки: крупа, капуста, селедка, огуречный рассол получать из нее ещё туда сюда..."
Два-три шага,туда,",","сюда, концы кос взяла в руки",О. А. Бессарабова. Дневник (1916),О. А. Бессарабова,1896,Дневник,1916,1916,XX 1st half,бытовая,"дневник, записные книжки",образование | армия и вооруженные конфликты | частная жизнь | искусство и культура,,электронный текст,"Два-три шага туда, сюда, концы кос взяла в руки -- раскинула руки, подняла вверх.",шага,"В разные стороны, во все концы",1,Да,существительное,"NOUN, inan, masc sing, gent",,препозиция,0,0,два-три шага,два-три шаг,Переносное,Отсутствует,"Два-три шага туда, сюда, концы кос взяла в руки -- раскинула руки, подняла вверх."
Инородец,туда,",",сюда.,"неизвестный. «Научная экспедиция» (1916.08.05) // газета «Вечерний курьер» (Москва), 1916",неизвестный,,«Научная экспедиция»,1916,1916,XX 1st half,публицистика,заметка,криминал,газета «Вечерний курьер» (Москва),газета,"Инородец туда, сюда.",Инородец,"В разные стороны, во все концы",1,Да,существительное,"NOUN, anim, masc sing, nomn",,препозиция,0,0,инородец,инородец,Переносное,Отсутствует,"Инородец туда, сюда."
Звоню,туда,",",сюда.,Марк Криницкий. Бесплатные обеды (1916),Марк Криницкий,1874,Бесплатные обеды,1916,1916,XX 1st half,художественная,рассказ,,Криницкий Марк. Припадок [и др. рассказы],книга,"Звоню туда, сюда.",Звоню,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 1per, pres, indc",конкретного физического действия,препозиция,0,0,звоню,звонить,Прямое,Отсутствует,"Звоню туда, сюда."
Фонологическая глава ещё,туда-сюда,",",но всё остальное очень слабо и,Н. С. Трубецкой. Письма Р. О. Якобсону (1920-1938),Н. С. Трубецкой,1890,Письма Р. О. Якобсону,1920-1938,1920,XX 1st half,учебно-научная,письмо,частная жизнь | филология | наука и технологии,Письма и заметки Н. С. Трубецкого,книга,"Фонологическая глава ещё туда-сюда, но всё остальное очень слабо и отдает ветошью, простительной для людей поколения Леви-Брюля.",ещё,"Ничего, сойдет ",2,Да,существительное,"NOUN, anim, ms-f sing, nomn",,препозиция,1,1,глава,глава,Переносное,Присутствует,"Фонологическая глава ещё туда-сюда, но всё остальное очень слабо и отдает ветошью, простительной для людей поколения Леви-Брюля."
